01:26:13 start free=79% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py HuggingFaceTB/SmolLM2-360M-Instruct --sets new
01:26:43 t=   30s free=72% swap=0MB rss=696MB
01:27:13 t=   60s free=67% swap=0MB rss=746MB
01:27:43 t=   90s free=68% swap=0MB rss=773MB
01:28:13 t=  120s free=68% swap=0MB rss=774MB
01:28:43 t=  150s free=67% swap=0MB rss=781MB
01:29:13 t=  180s free=67% swap=0MB rss=781MB
01:29:43 t=  211s free=72% swap=0MB rss=781MB
01:30:13 t=  241s free=67% swap=0MB rss=782MB
01:30:44 t=  271s free=68% swap=0MB rss=782MB
01:31:14 t=  301s free=68% swap=0MB rss=794MB
01:31:44 t=  331s free=68% swap=0MB rss=795MB
01:32:14 t=  361s free=68% swap=0MB rss=795MB
01:32:44 t=  391s free=71% swap=0MB rss=797MB
01:33:14 t=  421s free=67% swap=0MB rss=797MB
01:33:44 t=  451s free=73% swap=0MB rss=797MB
01:34:14 t=  481s free=68% swap=0MB rss=798MB
01:34:44 t=  511s free=68% swap=0MB rss=798MB
01:35:14 t=  541s free=68% swap=0MB rss=798MB
01:35:44 t=  572s free=68% swap=0MB rss=798MB
01:36:14 t=  602s free=70% swap=0MB rss=798MB
01:36:45 t=  632s free=67% swap=0MB rss=798MB
01:37:15 t=  662s free=68% swap=0MB rss=798MB
01:37:45 t=  692s free=68% swap=0MB rss=798MB
01:38:15 t=  722s free=68% swap=0MB rss=806MB
01:38:45 t=  752s free=68% swap=0MB rss=806MB
01:39:15 t=  782s free=68% swap=0MB rss=807MB
01:39:30 end exit=0 killed=None min_free=67% max_swap=0MB peak_rss=1146MB
