09:29:47 start free=75% swap=3123MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-3M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 1e-03 --tag lr1e-03_s0
09:30:19 t=   32s active=   32s free=38% swap=2987MB rss=547MB
09:30:50 t=   62s active=   62s free=38% swap=2987MB rss=1272MB
09:31:20 t=   93s active=   93s free=48% swap=2987MB rss=1934MB
09:31:51 t=  123s active=  123s free=45% swap=2987MB rss=2196MB
09:32:21 t=  154s active=  154s free=61% swap=2987MB rss=2418MB
09:32:52 t=  185s active=  185s free=46% swap=2987MB rss=1351MB
09:33:23 t=  215s active=  215s free=45% swap=2938MB rss=1776MB
09:33:53 t=  246s active=  246s free=49% swap=2938MB rss=1417MB
09:34:24 t=  276s active=  276s free=51% swap=2938MB rss=1624MB
09:34:54 t=  307s active=  307s free=55% swap=2762MB rss=2459MB
09:35:25 t=  338s active=  338s free=51% swap=2762MB rss=1859MB
09:35:55 t=  368s active=  368s free=51% swap=2762MB rss=2435MB
09:36:26 t=  399s active=  399s free=45% swap=2762MB rss=1188MB
09:36:57 t=  429s active=  429s free=51% swap=2762MB rss=1897MB
09:37:27 t=  460s active=  460s free=58% swap=2762MB rss=1315MB
09:37:58 t=  490s active=  490s free=50% swap=2762MB rss=1794MB
09:38:28 t=  521s active=  521s free=48% swap=2762MB rss=2259MB
09:38:59 t=  552s active=  552s free=54% swap=2762MB rss=1838MB
09:39:29 t=  582s active=  582s free=54% swap=2762MB rss=2413MB
09:40:00 t=  613s active=  613s free=59% swap=2762MB rss=1653MB
09:40:31 t=  643s active=  643s free=63% swap=2762MB rss=1391MB
09:40:42 end exit=0 killed=None active=654s paused=0s pauses=0 min_free=24% max_swap=3123MB peak_rss=2465MB
