08:07:40 start free=79% swap=3884MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-8M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 3e-03 --tag lr3e-03_s0
08:08:11 t=   32s active=   32s free=57% swap=3884MB rss=1165MB
08:08:42 t=   62s active=   62s free=61% swap=3884MB rss=2001MB
08:09:13 t=   93s active=   93s free=58% swap=3884MB rss=2468MB
08:09:43 t=  124s active=  124s free=52% swap=3884MB rss=1856MB
08:10:14 t=  154s active=  154s free=51% swap=3884MB rss=2200MB
08:10:45 t=  185s active=  185s free=56% swap=3884MB rss=1689MB
08:11:15 t=  216s active=  216s free=56% swap=3884MB rss=2073MB
08:11:46 t=  246s active=  246s free=52% swap=3884MB rss=2365MB
08:12:16 t=  277s active=  277s free=50% swap=3884MB rss=1636MB
08:12:47 t=  307s active=  307s free=51% swap=3884MB rss=2044MB
08:13:18 t=  338s active=  338s free=57% swap=3884MB rss=2505MB
08:13:48 t=  369s active=  369s free=55% swap=3884MB rss=2125MB
08:14:19 t=  399s active=  399s free=54% swap=3884MB rss=2296MB
08:14:50 t=  430s active=  430s free=39% swap=3884MB rss=1949MB
08:15:20 t=  461s active=  461s free=50% swap=3884MB rss=2177MB
08:15:51 t=  491s active=  491s free=51% swap=3884MB rss=2388MB
08:16:22 t=  522s active=  522s free=50% swap=3876MB rss=1900MB
08:16:52 t=  553s active=  553s free=51% swap=3876MB rss=2087MB
08:17:23 t=  583s active=  583s free=69% swap=3876MB rss=2269MB
08:17:54 t=  614s active=  614s free=58% swap=3876MB rss=1746MB
08:18:24 t=  645s active=  645s free=56% swap=3876MB rss=2342MB
08:18:55 t=  675s active=  675s free=57% swap=3876MB rss=2473MB
08:19:26 t=  706s active=  706s free=55% swap=3876MB rss=1992MB
08:19:56 t=  737s active=  737s free=67% swap=3876MB rss=1474MB
08:20:07 end exit=0 killed=None active=747s paused=0s pauses=0 min_free=31% max_swap=3884MB peak_rss=2505MB
