08:34:59 start free=78% swap=3612MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-3M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 5e-05 --tag lr5e-05_s0
08:35:31 t=   32s active=   32s free=55% swap=3612MB rss=944MB
08:36:02 t=   62s active=   62s free=46% swap=3612MB rss=1857MB
08:36:32 t=   93s active=   93s free=54% swap=3612MB rss=1366MB
08:37:03 t=  124s active=  124s free=51% swap=3612MB rss=2161MB
08:37:34 t=  154s active=  154s free=57% swap=3612MB rss=2441MB
08:38:04 t=  185s active=  185s free=45% swap=3596MB rss=1712MB
08:38:35 t=  216s active=  216s free=50% swap=3588MB rss=2275MB
08:39:06 t=  246s active=  246s free=47% swap=3588MB rss=1935MB
08:39:36 t=  277s active=  277s free=48% swap=3588MB rss=2158MB
08:40:07 t=  308s active=  308s free=51% swap=3588MB rss=1544MB
08:40:38 t=  338s active=  338s free=50% swap=3588MB rss=1901MB
08:41:08 t=  369s active=  369s free=41% swap=3588MB rss=2294MB
08:41:39 t=  400s active=  400s free=52% swap=3588MB rss=2121MB
08:42:10 t=  430s active=  430s free=61% swap=3588MB rss=2433MB
08:42:40 t=  461s active=  461s free=55% swap=3588MB rss=1732MB
08:43:11 t=  492s active=  492s free=54% swap=3588MB rss=2096MB
08:43:42 t=  522s active=  522s free=50% swap=3588MB rss=1431MB
08:44:13 t=  553s active=  553s free=55% swap=3588MB rss=2191MB
08:44:43 t=  584s active=  584s free=44% swap=3588MB rss=1596MB
08:45:14 t=  614s active=  614s free=33% swap=3588MB rss=1652MB
08:45:40 end exit=0 killed=None active=641s paused=0s pauses=0 min_free=33% max_swap=3612MB peak_rss=2480MB
