21:49:28 start free=78% swap=5595MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-1M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 1e-03 --tag lr1e-03_s0
21:50:00 t=   32s active=   32s free=50% swap=5579MB rss=925MB
21:50:31 t=   62s active=   62s free=41% swap=5579MB rss=1522MB
21:51:01 t=   93s active=   93s free=53% swap=5579MB rss=2172MB
21:51:32 t=  124s active=  124s free=61% swap=5579MB rss=2251MB
21:52:03 t=  155s active=  155s free=65% swap=5579MB rss=2293MB
21:52:33 t=  185s active=  185s free=41% swap=5579MB rss=1755MB
21:53:04 t=  216s active=  216s free=43% swap=5571MB rss=1580MB
21:53:35 t=  247s active=  247s free=50% swap=5571MB rss=2167MB
21:54:06 t=  277s active=  277s free=50% swap=5563MB rss=1990MB
21:54:36 t=  308s active=  308s free=48% swap=5539MB rss=2159MB
21:55:07 t=  339s active=  339s free=43% swap=5515MB rss=2478MB
21:55:38 t=  370s active=  370s free=47% swap=5499MB rss=1604MB
21:56:09 t=  401s active=  401s free=55% swap=5499MB rss=2266MB
21:56:40 t=  432s active=  432s free=44% swap=5491MB rss=1389MB
21:57:11 t=  463s active=  463s free=49% swap=5483MB rss=1557MB
21:57:42 t=  494s active=  494s free=53% swap=5483MB rss=1670MB
21:58:13 t=  525s active=  525s free=58% swap=5475MB rss=2250MB
21:58:44 t=  556s active=  556s free=50% swap=5459MB rss=2501MB
21:59:15 t=  587s active=  587s free=52% swap=5761MB rss=921MB
21:59:46 t=  617s active=  617s free=59% swap=5737MB rss=889MB
22:00:03 end exit=0 killed=None active=635s paused=0s pauses=0 min_free=26% max_swap=5761MB peak_rss=2501MB
