22:44:10 start free=78% swap=1718MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-3M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --steps 0 --sets eval,cont,know --tag base
22:44:41 t=   32s active=   32s free=39% swap=1718MB rss=572MB
22:45:12 t=   62s active=   62s free=57% swap=1718MB rss=950MB
22:45:43 t=   93s active=   93s free=59% swap=1718MB rss=1004MB
22:46:13 t=  124s active=  124s free=63% swap=1718MB rss=1009MB
22:46:44 t=  154s active=  154s free=62% swap=1718MB rss=1013MB
22:47:14 t=  185s active=  185s free=62% swap=1718MB rss=1017MB
22:47:45 t=  215s active=  215s free=61% swap=1718MB rss=1017MB
22:48:16 t=  246s active=  246s free=59% swap=1718MB rss=1368MB
22:48:46 t=  277s active=  277s free=60% swap=1718MB rss=1635MB
22:49:17 t=  307s active=  307s free=59% swap=1710MB rss=1823MB
22:49:47 t=  338s active=  338s free=59% swap=1710MB rss=1823MB
22:50:18 t=  368s active=  368s free=59% swap=1710MB rss=1829MB
22:50:49 t=  399s active=  399s free=59% swap=1710MB rss=1829MB
22:51:19 t=  430s active=  430s free=59% swap=1710MB rss=1829MB
22:51:28 end exit=0 killed=None active=439s paused=0s pauses=0 min_free=39% max_swap=1718MB peak_rss=1829MB
