21:29:29 start free=76% swap=4972MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-1M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 5e-05 --tag lr5e-05_s0
21:30:01 t=   32s active=   32s free=42% swap=5649MB rss=798MB
21:30:32 t=   62s active=   62s free=52% swap=5649MB rss=1728MB
21:31:02 t=   93s active=   93s free=59% swap=5641MB rss=1584MB
21:31:33 t=  123s active=  123s free=36% swap=5305MB rss=861MB
21:32:03 t=  154s active=  154s free=48% swap=5289MB rss=953MB
21:32:34 t=  185s active=  185s free=43% swap=5289MB rss=1230MB
21:33:05 t=  215s active=  215s free=33% swap=5288MB rss=1204MB
21:33:35 t=  246s active=  246s free=53% swap=5280MB rss=1745MB
21:34:06 t=  276s active=  276s free=40% swap=5272MB rss=2202MB
21:34:36 t=  307s active=  307s free=36% swap=5232MB rss=1618MB
21:35:07 t=  337s active=  337s free=50% swap=5192MB rss=2338MB
21:35:37 t=  368s active=  368s free=49% swap=6011MB rss=956MB
21:36:08 t=  399s active=  399s free=51% swap=6003MB rss=1797MB
21:36:39 t=  429s active=  429s free=59% swap=5995MB rss=1769MB
21:37:09 t=  460s active=  460s free=61% swap=5995MB rss=2067MB
21:37:40 t=  490s active=  490s free=56% swap=5995MB rss=1084MB
21:38:10 t=  521s active=  521s free=49% swap=5987MB rss=2132MB
21:38:41 t=  552s active=  552s free=49% swap=5979MB rss=1346MB
21:39:12 t=  582s active=  582s free=58% swap=5963MB rss=700MB
21:39:30 end exit=0 killed=None active=600s paused=0s pauses=0 min_free=17% max_swap=6043MB peak_rss=2345MB
