20:51:52 start free=82% swap=8856MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-3M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 3e-03 --tag lr3e-03_s0
20:52:24 t=   32s active=   32s free=48% swap=8664MB rss=789MB
20:52:55 t=   62s active=   62s free=42% swap=8616MB rss=1783MB
20:53:25 t=   93s active=   93s free=42% swap=8576MB rss=1441MB
20:53:56 t=  123s active=  123s free=41% swap=8560MB rss=1908MB
20:54:26 t=  154s active=  154s free=43% swap=6372MB rss=1407MB
20:54:57 t=  184s active=  184s free=51% swap=6340MB rss=1849MB
20:55:28 t=  215s active=  215s free=53% swap=6292MB rss=2297MB
20:55:58 t=  246s active=  246s free=41% swap=6268MB rss=1573MB
20:56:29 t=  276s active=  276s free=40% swap=6252MB rss=2354MB
20:56:59 t=  307s active=  307s free=41% swap=6244MB rss=1387MB
20:57:30 t=  338s active=  338s free=54% swap=6228MB rss=1961MB
20:58:01 t=  368s active=  368s free=42% swap=6180MB rss=2288MB
20:58:31 t=  399s active=  399s free=37% swap=6076MB rss=1648MB
20:59:02 t=  430s active=  430s free=58% swap=5996MB rss=2252MB
20:59:33 t=  460s active=  460s free=38% swap=5836MB rss=1178MB
21:00:05 t=  492s active=  492s free=33% swap=5820MB rss=895MB
21:00:37 t=  524s active=  524s free=54% swap=5772MB rss=2262MB
21:01:08 t=  555s active=  555s free=51% swap=5772MB rss=1571MB
21:01:39 t=  586s active=  586s free=47% swap=5756MB rss=2298MB
21:02:11 t=  618s active=  618s free=34% swap=5748MB rss=271MB
21:02:42 t=  649s active=  649s free=24% swap=5716MB rss=324MB
21:03:13 t=  680s active=  680s free=68% swap=5708MB rss=0MB
21:03:13 end exit=0 killed=None active=680s paused=0s pauses=0 min_free=21% max_swap=8856MB peak_rss=2515MB
