22:00:04 start free=69% swap=5617MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-1M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 3e-03 --tag lr3e-03_s0
22:00:36 t=   32s active=   32s free=55% swap=5617MB rss=798MB
22:01:07 t=   63s active=   63s free=51% swap=5609MB rss=1515MB
22:01:38 t=   94s active=   94s free=47% swap=5609MB rss=2216MB
22:02:09 t=  125s active=  125s free=48% swap=5601MB rss=1057MB
22:02:39 t=  155s active=  155s free=42% swap=5601MB rss=1705MB
22:03:10 t=  186s active=  186s free=51% swap=5585MB rss=1628MB
22:03:40 t=  216s active=  216s free=54% swap=5585MB rss=2023MB
22:04:11 t=  247s active=  247s free=68% swap=5553MB rss=1702MB
22:04:42 t=  278s active=  278s free=36% swap=5553MB rss=1703MB
22:05:12 t=  308s active=  308s free=47% swap=5521MB rss=2354MB
22:05:43 t=  339s active=  339s free=50% swap=5521MB rss=1131MB
22:06:13 t=  369s active=  369s free=54% swap=5505MB rss=1753MB
22:06:44 t=  400s active=  400s free=65% swap=5505MB rss=1972MB
22:07:15 t=  431s active=  431s free=65% swap=5505MB rss=2126MB
22:07:45 t=  461s active=  461s free=53% swap=5505MB rss=1120MB
22:08:16 t=  492s active=  492s free=51% swap=5505MB rss=1966MB
22:08:46 t=  522s active=  522s free=46% swap=5497MB rss=1335MB
22:09:17 t=  553s active=  553s free=60% swap=5497MB rss=2275MB
22:09:47 t=  583s active=  583s free=69% swap=5497MB rss=2231MB
22:10:18 t=  614s active=  614s free=67% swap=5489MB rss=1979MB
22:10:31 end exit=0 killed=None active=627s paused=0s pauses=0 min_free=28% max_swap=5617MB peak_rss=2373MB
