21:39:30 start free=80% swap=5955MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-1M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 3e-04 --tag lr3e-04_s0
21:40:02 t=   32s active=   32s free=64% swap=5947MB rss=1457MB
21:40:32 t=   62s active=   62s free=50% swap=5947MB rss=1627MB
21:41:03 t=   93s active=   93s free=55% swap=5915MB rss=2209MB
21:41:34 t=  123s active=  123s free=54% swap=5915MB rss=2243MB
21:42:04 t=  154s active=  154s free=51% swap=5907MB rss=991MB
21:42:35 t=  184s active=  184s free=56% swap=5899MB rss=1985MB
21:43:05 t=  215s active=  215s free=61% swap=5875MB rss=2304MB
21:43:36 t=  246s active=  246s free=48% swap=5867MB rss=2519MB
21:44:07 t=  276s active=  276s free=43% swap=5851MB rss=1347MB
21:44:37 t=  307s active=  307s free=39% swap=5835MB rss=1826MB
21:45:08 t=  338s active=  338s free=39% swap=5651MB rss=2203MB
21:45:39 t=  368s active=  368s free=59% swap=5651MB rss=1882MB
21:46:09 t=  399s active=  399s free=58% swap=5627MB rss=2272MB
21:46:40 t=  430s active=  430s free=38% swap=5611MB rss=1705MB
21:47:11 t=  460s active=  460s free=46% swap=5611MB rss=2167MB
21:47:41 t=  491s active=  491s free=51% swap=5611MB rss=1982MB
21:48:12 t=  522s active=  522s free=47% swap=5603MB rss=2344MB
21:48:43 t=  553s active=  553s free=68% swap=5603MB rss=2184MB
21:49:14 t=  584s active=  584s free=70% swap=5595MB rss=787MB
21:49:28 end exit=0 killed=None active=597s paused=0s pauses=0 min_free=31% max_swap=5955MB peak_rss=2524MB
