07:30:39 start free=80% swap=4028MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-8M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 5e-05 --tag lr5e-05_s0
07:31:11 t=   32s active=   32s free=55% swap=4004MB rss=1240MB
07:31:42 t=   62s active=   62s free=58% swap=3996MB rss=1969MB
07:32:12 t=   93s active=   93s free=65% swap=3988MB rss=2477MB
07:32:43 t=  124s active=  124s free=54% swap=3980MB rss=1876MB
07:33:14 t=  154s active=  154s free=58% swap=3980MB rss=2246MB
07:33:44 t=  185s active=  185s free=47% swap=3980MB rss=1690MB
07:34:15 t=  216s active=  216s free=50% swap=3980MB rss=1916MB
07:34:46 t=  246s active=  246s free=60% swap=3980MB rss=2193MB
07:35:16 t=  277s active=  277s free=47% swap=3972MB rss=1505MB
07:35:47 t=  307s active=  307s free=48% swap=3972MB rss=1882MB
07:36:18 t=  338s active=  338s free=58% swap=3972MB rss=2498MB
07:36:48 t=  369s active=  369s free=52% swap=3972MB rss=2286MB
07:37:19 t=  399s active=  399s free=48% swap=3972MB rss=2413MB
07:37:49 t=  430s active=  430s free=38% swap=3972MB rss=1645MB
07:38:20 t=  461s active=  461s free=56% swap=3972MB rss=2165MB
07:38:51 t=  491s active=  491s free=56% swap=3972MB rss=2414MB
07:39:21 t=  522s active=  522s free=55% swap=3972MB rss=1788MB
07:39:52 t=  553s active=  553s free=60% swap=3972MB rss=2032MB
07:40:23 t=  583s active=  583s free=61% swap=3972MB rss=2270MB
07:40:53 t=  614s active=  614s free=52% swap=3964MB rss=2213MB
07:41:24 t=  644s active=  644s free=53% swap=3964MB rss=2355MB
07:41:55 t=  675s active=  675s free=38% swap=3964MB rss=1669MB
07:42:25 t=  706s active=  706s free=48% swap=3964MB rss=1800MB
07:42:56 t=  736s active=  736s free=72% swap=3964MB rss=1562MB
07:43:00 end exit=0 killed=None active=740s paused=0s pauses=0 min_free=36% max_swap=4028MB peak_rss=2498MB
