08:25:05 start free=80% swap=3860MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py EleutherAI/pythia-31m --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 3e-04 --tag lr3e-04_s0
08:25:37 t=   32s active=   32s free=70% swap=3860MB rss=2280MB
08:26:08 t=   62s active=   62s free=70% swap=3860MB rss=2292MB
08:26:38 t=   93s active=   93s free=70% swap=3860MB rss=2424MB
08:27:09 t=  123s active=  123s free=71% swap=3860MB rss=2425MB
08:27:39 t=  154s active=  154s free=71% swap=3860MB rss=2425MB
08:28:10 t=  185s active=  185s free=71% swap=3860MB rss=2498MB
08:28:41 t=  215s active=  215s free=71% swap=3860MB rss=2498MB
08:29:11 t=  246s active=  246s free=70% swap=3620MB rss=2498MB
08:29:42 t=  276s active=  276s free=65% swap=3620MB rss=2499MB
08:30:00 end exit=0 killed=None active=295s paused=0s pauses=0 min_free=65% max_swap=3860MB peak_rss=2500MB
