07:43:00 start free=78% swap=3964MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-8M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 3e-04 --tag lr3e-04_s0
07:43:32 t=   32s active=   32s free=57% swap=3964MB rss=1264MB
07:44:03 t=   62s active=   62s free=61% swap=3964MB rss=2142MB
07:44:33 t=   93s active=   93s free=57% swap=3964MB rss=2460MB
07:45:04 t=  124s active=  124s free=53% swap=3964MB rss=2130MB
07:45:34 t=  154s active=  154s free=53% swap=3964MB rss=2446MB
07:46:05 t=  185s active=  185s free=58% swap=3964MB rss=1710MB
07:46:36 t=  215s active=  215s free=58% swap=3964MB rss=2186MB
07:47:06 t=  246s active=  246s free=70% swap=3964MB rss=2362MB
07:47:37 t=  277s active=  277s free=51% swap=3964MB rss=2354MB
07:48:08 t=  307s active=  307s free=52% swap=3964MB rss=2516MB
07:48:38 t=  338s active=  338s free=49% swap=3964MB rss=2531MB
07:49:09 t=  369s active=  369s free=52% swap=3964MB rss=1976MB
07:49:39 t=  399s active=  399s free=48% swap=3956MB rss=2292MB
07:50:10 t=  430s active=  430s free=55% swap=3956MB rss=1862MB
07:50:41 t=  460s active=  460s free=57% swap=3956MB rss=2221MB
07:51:11 t=  491s active=  491s free=57% swap=3956MB rss=2440MB
07:51:42 t=  522s active=  522s free=56% swap=3956MB rss=2345MB
07:52:13 t=  552s active=  552s free=57% swap=3956MB rss=2416MB
07:52:43 t=  583s active=  583s free=58% swap=3956MB rss=2472MB
07:53:14 t=  614s active=  614s free=51% swap=3956MB rss=1779MB
07:53:44 t=  644s active=  644s free=57% swap=3956MB rss=2193MB
07:54:15 t=  675s active=  675s free=54% swap=3948MB rss=2011MB
07:54:46 t=  705s active=  705s free=39% swap=3948MB rss=2116MB
07:55:16 t=  736s active=  736s free=72% swap=3948MB rss=1736MB
07:55:18 end exit=0 killed=None active=738s paused=0s pauses=0 min_free=32% max_swap=3964MB peak_rss=2531MB
