21:17:57 start free=85% swap=5012MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-1M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --steps 0 --sets eval,cont,know --tag base
21:18:28 t=   32s active=   32s free=50% swap=5012MB rss=564MB
21:19:00 t=   63s active=   63s free=60% swap=5012MB rss=765MB
21:19:31 t=   94s active=   94s free=57% swap=5004MB rss=912MB
21:20:01 t=  125s active=  125s free=47% swap=4988MB rss=894MB
21:20:33 t=  156s active=  156s free=48% swap=4988MB rss=897MB
21:21:04 t=  187s active=  187s free=49% swap=4988MB rss=901MB
21:21:35 t=  219s active=  219s free=57% swap=4988MB rss=904MB
21:22:06 t=  249s active=  249s free=57% swap=4988MB rss=906MB
21:22:37 t=  281s active=  281s free=58% swap=4988MB rss=1145MB
21:23:10 t=  313s active=  313s free=58% swap=4988MB rss=1393MB
21:23:41 t=  344s active=  344s free=58% swap=4988MB rss=1499MB
21:24:13 t=  376s active=  376s free=58% swap=4988MB rss=1731MB
21:24:44 t=  407s active=  407s free=58% swap=4988MB rss=1983MB
21:25:15 t=  439s active=  439s free=58% swap=4980MB rss=1983MB
21:25:47 t=  470s active=  470s free=55% swap=4980MB rss=2078MB
21:26:17 t=  501s active=  501s free=55% swap=4980MB rss=2080MB
21:26:48 t=  531s active=  531s free=56% swap=4980MB rss=2082MB
21:27:18 t=  562s active=  562s free=58% swap=4980MB rss=2091MB
21:27:49 t=  592s active=  592s free=58% swap=4972MB rss=2157MB
21:28:19 t=  623s active=  623s free=53% swap=4972MB rss=2125MB
21:28:50 t=  653s active=  653s free=56% swap=4972MB rss=2125MB
21:29:20 t=  684s active=  684s free=56% swap=4972MB rss=2126MB
21:29:28 end exit=0 killed=None active=691s paused=0s pauses=0 min_free=44% max_swap=5012MB peak_rss=2157MB
